DEBUG: count 178000, next_vid 26
DEBUG: count 179000, next_vid 23
DEBUG: count 180000, next_vid 24
DEBUG: count 181000, next_vid 23
DEBUG: count 182000, next_vid 22
DEBUG: count 183000, next_vid 26
DEBUG: count 184000, next_vid 20
DEBUG: count 185000, next_vid 21
DEBUG: count 186000, next_vid 26
DEBUG: count 187000, next_vid 24
DEBUG: count 188000, next_vid 22
DEBUG: count 189000, next_vid 24
DEBUG: count 190000, next_vid 28
DEBUG: count 191000, next_vid 23
DEBUG: count 192000, next_vid 21
DEBUG: count 193000, next_vid 24
DEBUG: count 194000, next_vid 26
[enumerate] generated 7400 radius-3 local types (<= 32 vertices).
... checking type 1/7400
... checking type 11/7400
... checking type 21/7400
... checking type 31/7400
... checking type 41/7400
... checking type 51/7400
